Latitude,Longitude,Timestamp
37.42753406851868,-122.16970104300084,1724965632.146178
37.427535255522805,-122.16970103608958,1724965632.235303
37.42753535733961,-122.16970017065181,1724965632.3384712
37.42753540413583,-122.16970099281922,1724965632.436129
37.42753357058272,-122.16970163147049,1724965632.5379186
37.42753538388373,-122.1697021547077,1724965632.6392167
37.42753534807553,-122.16970142831762,1724965632.7398152
37.427533848628606,-122.16970284121663,1724965632.839854
37.427535523424865,-122.16970437759105,1724965632.9449213
37.42753594132875,-122.16970666653432,1724965633.0455613
37.42753533157822,-122.16970800254066,1724965633.142841
37.42753514210327,-122.1697091404978,1724965633.243237
37.427535081454344,-122.16971018003628,1724965633.3508976
37.42750583073533,-122.16970077205322,1724965633.4482813
37.42750585724307,-122.16970156480753,1724965633.5438666
37.427505986811965,-122.16970165866033,1724965633.6433103
37.427532563917055,-122.1696941862163,1724965633.7451804
37.42753416498862,-122.16969897180289,1724965633.8448348
37.42753570483336,-122.16969902175623,1724965633.9469228
37.427535566485474,-122.16969904338636,1724965634.048454
37.42753578387395,-122.1696992363424,1724965634.1488025
37.42753568863921,-122.16969891258128,1724965634.250604
37.427536422395136,-122.16969841625314,1724965634.3513453
37.42753687392049,-122.16969873708287,1724965634.4473572
37.42753604045512,-122.16969827001942,1724965634.548414
37.42753614660482,-122.1696980703272,1724965634.649034
37.42753677584153,-122.16969791573838,1724965634.7582357
37.42753647482283,-122.16969745185345,1724965634.8601165
37.427536761113515,-122.16969755592321,1724965634.9597566
37.427536622692585,-122.16969760702273,1724965635.066693
37.42753668835423,-122.16969740839181,1724965635.1618135
37.42753676083532,-122.16969753017311,1724965635.2670922
37.42753644458595,-122.16969746746594,1724965635.3646584
37.427536356723806,-122.16969755691113,1724965635.4647052
37.427536113477544,-122.16969761184441,1724965635.5702868
37.42753601912893,-122.1696976451206,1724965635.6694384
37.42753640910748,-122.16969758589767,1724965635.7734833
37.42753595129117,-122.16969759375712,1724965635.8681395
37.42753615191192,-122.16969756859221,1724965635.9700892
37.42753633101531,-122.16969756751408,1724965636.0687087
37.42753622659705,-122.1696975767877,1724965636.1709542
37.42753625160954,-122.16969761947826,1724965636.2736356
37.42753621286044,-122.16969755691113,1724965636.3727534
37.427535905804255,-122.16969753770599,1724965636.4756668
37.42753605939142,-122.16969751067572,1724965636.5791094
37.42753600383809,-122.16969754599438,1724965636.6731832
37.42753641101722,-122.169697485896,1724965636.775963
37.42753622970012,-122.16969753883933,1724965636.8777668
37.42753619848796,-122.16969761087064,1724965636.9781942
37.42753625409714,-122.16969759205,1724965637.076959
37.42753618084807,-122.16969754306704,1724965637.1794019
37.42753609715664,-122.1696976178432,1724965637.2796984
37.42753625474912,-122.16969749020788,1724965637.3837812
37.42753592030026,-122.16969750561096,1724965637.483414
37.427536439374435,-122.16969748773981,1724965637.5891676
37.42753605585979,-122.16969757223877,1724965637.6807911
37.427536242385194,-122.16969763082331,1724965637.7827005
37.42753638902726,-122.16969763937905,1724965637.8838277
37.427536357376866,-122.16969751091072,1724965637.9855368
37.42753621568639,-122.1696975526181,1724965638.0867953
